Temperature_C,Humidity_pct,Wind_kmh,Play
22,45,12,No
24,50,15,No
25,55,18,No
27,60,20,Yes
29,65,22,Yes
31,70,25,Yes
33,75,28,Yes
35,80,30,Yes
21,40,10,No
23,48,13,No
26,52,16,No
28,58,19,Yes
30,62,21,Yes
32,68,24,Yes
34,72,27,Yes
36,78,31,Yes
20,42,11,No
22,47,14,No
24,53,17,No
27,57,20,Yes
29,63,23,Yes
31,67,26,Yes
33,73,29,Yes
35,77,32,Yes
19,38,9,No
21,44,12,No
23,49,15,No
26,56,18,Yes
28,61,21,Yes
30,66,24,Yes
32,71,27,Yes
34,76,30,Yes
18,35,8,No
20,41,10,No
22,46,13,No
25,54,16,No
27,59,19,Yes
29,64,22,Yes
31,69,25,Yes
33,74,28,Yes
17,32,7,No
19,39,9,No
21,43,11,No
24,51,14,No
26,55,17,Yes
28,60,20,Yes
30,65,23,Yes
32,70,26,Yes
34,75,29,Yes
36,82,33,Yes
